公司名称-1700家,ProfitAbility,盈利能力（净资产收益率）,信用风险（企业查风险总量数）,营运效率（资产负债率）,管理能力（根据股权占比和公告合理给分）,发展潜力（根据行情直接给分）,技术创新能力（专家打分 先空着）,TotalScore,,,注意,
原子高科,5.13%,5.13%,340,29.35%,15,5,,86,,,法人代表不一致,
华环电子,2.24%,2.24%,38,22.29%,14,13,,86,,,发展潜力无数据,
恒业世纪,2.73%,2.73%,85,43.02%,12,17,,89,,,,
星昊医药,4.40%,4.40%,513,21.05%,16,12,,87,,,,
海鑫科金,-8.10%,-8.10%,233,40.77%,8,12,,79,,,,
大地股份,3.28%,3.28%,345,44.96%,13,19,,87,,,,
联 飞 翔,6.24%,6.24%,239,23.27%,8,7,,86,,,,
信维科技,-3.34%,-3.34%,16,24.30%,9,13,,79,,,,
圣 博 润,1.24%,1.24%,57,28.52%,13,14,,83,,,,
九 恒 星,-12.05%,-12.05%,103,8.43%,8,12,,71,,,,
清畅电力,1.06%,1.06%,68,58.96%,10,13,,80,,,,
中科国信,-3.18%,-3.18%,62,37.48%,14,15,,81,,,,
南北天地,-83.24%,-83.24%,66,95.52%,7,17,,71,,,,
兆信股份,1.99%,1.99%,209,22.30%,16,16,,83,,,,
中讯四方,-1.06%,-1.06%,95,31.73%,9,13,,80,,,,
国基科技,3.99%,3.99%,501,33.08%,12,13,,84,,,,
星和众工,3.06%,3.06%,136,73.06%,8,17,,87,,,,
赛德丽,-3.63%,-3.63%,108,57.34%,11,15,,78,,,,
中航讯,-13.79%,-13.79%,62,26.88%,11,14,,74,,,,
北京航峰,-1.66%,-1.66%,35,15.78%,13,15,,79,,,,
金润科技,2.90%,2.90%,93,3.38%,14,17,,85,,,,
新眼光,1.36%,1.36%,98,18.34%,12,13,,82,,,,
煦联得,-1.38%,-1.38%,98,37.59%,10,19,,81,,,,
创世生态,-22.31%,-22.31%,289,58.51%,15,12,,69,,,,
光谷信息,-3.94%,-3.94%,238,44.37%,12,10,,80,,,,
光宝联合,2.20%,2.20%,104,32.39%,12,14,,87,,,,
沃捷传媒,1.61%,1.61%,104,60.74%,9,15,,84,,,,
全网数商,2.42%,2.42%,164,27.16%,11,13,,86,,,,
微传播,-7.18%,-7.18%,79,19.90%,9,5,,76,,,,
优炫软件,-8.50%,-8.50%,171,41.25%,12,5,,80,,,,
丰电科技,4.44%,4.44%,191,52.16%,16,19,,89,,,,
掌众科技,-0.62%,-0.62%,98,13.86%,14,13,,79,,,,
迈达科技,14.00%,14.00%,100,14.10%,14,12,,90,,,,
璟泓科技,6.06%,6.06%,173,36.39%,9,10,,88,,,,
亿童文教,4.22%,4.22%,173,11.86%,15,10,,87,,,,
伊禾农品,0.02%,0.02%,213,32.60%,11,5,,82,,,,
绿岸网络,2.23%,2.23%,405,9.04%,14,14,,81,,,,
美兰股份,"6,89","6,89",252,41.24%,12,17,,93,,,,
普华科技,-10.37%,-10.37%,94,15.62%,12,13,,73,,,,
慧峰仁和,-5.34%,-5.34%,29,67.61%,10,18,,81,,,,
